   step     dens     kT     pres         Lx      Ly      Lz          Px       Py       Pz         px        py        pz
     4700  2.9977  1.0087  21.9771     12.000  12.000  12.000      7.3446   7.3284   7.3041     0.11E-12 -0.25E-12 -0.61E-13
     4800  2.9977  1.0048  21.9453     12.000  12.000  12.000      7.2568   7.3928   7.2957     0.98E-13 -0.94E-13 -0.35E-12
     4900  2.9977  0.9901  21.9636     12.000  12.000  12.000      7.3415   7.3583   7.2639     0.11E-12 -0.18E-12 -0.38E-12
     5000  2.9977  0.9972  21.9759     12.000  12.000  12.000      7.3412   7.3040   7.3307     0.35E-13 -0.21E-12 -0.28E-12
     5100  2.9977  0.9835  21.9567     12.000  12.000  12.000      7.3270   7.3101   7.3196    -0.21E-12 -0.28E-12 -0.15E-12
     5200  2.9977  0.9961  21.9817     12.000  12.000  12.000      7.2817   7.3426   7.3574    -0.15E-12 -0.28E-13 -0.27E-12
     5300  2.9977  0.9884  21.8253     12.000  12.000  12.000      7.3100   7.2325   7.2828    -0.43E-12  0.80E-13 -0.35E-12
     5400  2.9977  1.0078  21.9734     12.000  12.000  12.000      7.3235   7.3303   7.3196    -0.91E-13  0.27E-12 -0.47E-13
     5500  2.9977  0.9802  21.8852     12.000  12.000  12.000      7.2802   7.3442   7.2607    -0.22E-12  0.45E-13 -0.25E-12
     5600  2.9977  1.0009  22.0206     12.000  12.000  12.000      7.3669   7.3013   7.3524    -0.21E-12  0.39E-12 -0.11E-12
     5700  2.9977  0.9953  21.9162     12.000  12.000  12.000      7.3152   7.3144   7.2866    -0.20E-12  0.27E-12  0.60E-13
     5800  2.9977  0.9896  21.9320     12.000  12.000  12.000      7.2774   7.3559   7.2987     0.95E-13  0.31E-12 -0.87E-13
     5900  2.9977  0.9864  21.9406     12.000  12.000  12.000      7.3223   7.3096   7.3087    -0.33E-13  0.38E-12  0.10E-12
     6000  2.9977  1.0234  22.0077     12.000  12.000  12.000      7.3564   7.3192   7.3320     0.31E-13  0.56E-12 -0.13E-13
     6100  2.9977  0.9642  21.7936     12.000  12.000  12.000      7.2801   7.2480   7.2654    -0.55E-13  0.53E-12 -0.42E-13
     6200  2.9977  1.0009  21.9116     12.000  12.000  12.000      7.3209   7.3359   7.2549    -0.18E-12  0.37E-13  0.63E-13
     6300  2.9977  1.0124  21.8980     12.000  12.000  12.000      7.3218   7.2699   7.3062    -0.17E-12  0.34E-12  0.74E-13
     6400  2.9977  1.0107  22.0315     12.000  12.000  12.000      7.3446   7.3761   7.3108    -0.19E-12  0.10E-12  0.21E-12
     6500  2.9977  0.9795  21.9661     12.000  12.000  12.000      7.2717   7.3326   7.3618    -0.20E-12  0.27E-12  0.20E-12
     6600  2.9977  1.0027  22.0571     12.000  12.000  12.000      7.3542   7.3537   7.3492     0.19E-12  0.26E-12  0.28E-13
     6700  2.9977  0.9914  22.0576     12.000  12.000  12.000      7.3542   7.3403   7.3631    -0.89E-13  0.17E-12  0.17E-12
     6800  2.9977  1.0151  22.0745     12.000  12.000  12.000      7.2990   7.3669   7.4086    -0.23E-12  0.21E-12  0.29E-13
     6900  2.9977  1.0119  21.9971     12.000  12.000  12.000      7.2822   7.3310   7.3839     0.54E-13  0.39E-12  0.73E-13
     7000  2.9977  0.9881  21.8217     12.000  12.000  12.000      7.2627   7.2821   7.2769    -0.17E-12  0.21E-12  0.40E-12
     7100  2.9977  1.0063  22.0156     12.000  12.000  12.000      7.3398   7.3274   7.3485     0.82E-13  0.22E-12  0.30E-12
     7200  2.9977  1.0002  22.0262     12.000  12.000  12.000      7.3462   7.3473   7.3327     0.59E-12  0.49E-12  0.20E-12
     7300  2.9977  0.9965  21.8491     12.000  12.000  12.000      7.2752   7.3037   7.2702     0.29E-12  0.30E-12  0.31E-12
     7400  2.9977  1.0091  21.9759     12.000  12.000  12.000      7.3106   7.3145   7.3508     0.17E-12  0.47E-12  0.36E-12
     7500  2.9977  1.0064  22.1342     12.000  12.000  12.000      7.3434   7.4164   7.3745     0.31E-12  0.21E-12  0.35E-12
     7600  2.9977  0.9932  21.9401     12.000  12.000  12.000      7.2844   7.3343   7.3215     0.19E-12 -0.24E-12  0.33E-12
     7700  2.9977  0.9911  21.9004     12.000  12.000  12.000      7.2610   7.3150   7.3244     0.42E-12  0.38E-12  0.46E-12
     7800  2.9977  1.0009  21.9567     12.000  12.000  12.000      7.3349   7.3159   7.3058     0.40E-12  0.32E-12  0.63E-12
     7900  2.9977  1.0065  21.9419     12.000  12.000  12.000      7.3300   7.3138   7.2980     0.41E-12  0.18E-12  0.47E-12
     8000  2.9977  1.0064  21.9419     12.000  12.000  12.000      7.3269   7.3130   7.3020     0.48E-12  0.24E-12  0.58E-12
     8100  2.9977  0.9933  21.9058     12.000  12.000  12.000      7.2768   7.2918   7.3371     0.49E-12  0.24E-12  0.59E-12
