   step     dens     kT     pres         Lx      Ly      Lz          Px       Py       Pz         px        py        pz
      100  2.9977  1.0829  22.4388     12.000  12.000  12.000      7.4555   7.4674   7.5159     0.15E-13  0.18E-12  0.16E-12
      200  2.9977  1.0378  22.5330     12.000  12.000  12.000      7.4438   7.5417   7.5475     0.15E-12  0.23E-12 -0.28E-13
      300  2.9977  1.0346  22.4155     12.000  12.000  12.000      7.4089   7.4891   7.5174     0.13E-12  0.10E-12 -0.38E-13
      400  2.9977  0.9972  22.2548     12.000  12.000  12.000      7.4316   7.4260   7.3972    -0.78E-13  0.27E-12 -0.87E-13
      500  2.9977  1.0034  22.3098     12.000  12.000  12.000      7.5073   7.4017   7.4008     0.62E-13  0.41E-12 -0.58E-13
      600  2.9977  0.9975  22.2279     12.000  12.000  12.000      7.4162   7.4083   7.4035     0.68E-13  0.49E-12 -0.24E-12
      700  2.9977  0.9934  22.1797     12.000  12.000  12.000      7.3524   7.4260   7.4013     0.36E-13  0.28E-12 -0.27E-12
      800  2.9977  0.9786  22.0674     12.000  12.000  12.000      7.3828   7.3719   7.3127     0.61E-13  0.24E-12 -0.22E-12
      900  2.9977  0.9823  22.1873     12.000  12.000  12.000      7.3993   7.4042   7.3838     0.22E-12  0.14E-12  0.15E-12
     1000  2.9977  0.9956  22.0632     12.000  12.000  12.000      7.3411   7.3714   7.3508     0.20E-12  0.43E-13 -0.86E-13
     1100  2.9977  0.9857  21.9765     12.000  12.000  12.000      7.3033   7.4051   7.2682     0.26E-12  0.98E-13 -0.17E-12
     1200  2.9977  0.9842  21.8934     12.000  12.000  12.000      7.3199   7.3340   7.2395     0.13E-12  0.12E-12 -0.57E-13
     1300  2.9977  1.0108  22.0760     12.000  12.000  12.000      7.3493   7.3338   7.3929     0.31E-12  0.14E-12  0.84E-13
     1400  2.9977  1.0011  21.9710     12.000  12.000  12.000      7.3308   7.3410   7.2991     0.23E-13  0.24E-12  0.60E-13
     1500  2.9977  1.0107  22.0137     12.000  12.000  12.000      7.3378   7.3324   7.3435     0.24E-13 -0.64E-13  0.33E-12
     1600  2.9977  1.0039  21.9876     12.000  12.000  12.000      7.2845   7.3843   7.3188     0.12E-12  0.14E-12  0.35E-12
     1700  2.9977  0.9989  21.9494     12.000  12.000  12.000      7.3014   7.2857   7.3623     0.42E-14  0.39E-13  0.21E-12
     1800  2.9977  0.9941  21.9238     12.000  12.000  12.000      7.2984   7.3497   7.2757     0.45E-13  0.16E-12  0.74E-13
     1900  2.9977  0.9995  21.9143     12.000  12.000  12.000      7.2727   7.3618   7.2798     0.41E-13  0.36E-12  0.20E-13
     2000  2.9977  1.0033  21.9138     12.000  12.000  12.000      7.3003   7.3138   7.2996     0.13E-12  0.49E-12  0.14E-12
     2100  2.9977  0.9753  21.8345     12.000  12.000  12.000      7.2666   7.2493   7.3187     0.12E-12  0.20E-12  0.22E-12
     2200  2.9977  0.9959  21.9283     12.000  12.000  12.000      7.3518   7.2651   7.3114     0.27E-12  0.34E-12  0.18E-12
     2300  2.9977  1.0098  21.9516     12.000  12.000  12.000      7.2559   7.3590   7.3367     0.13E-12  0.66E-12  0.80E-13
     2400  2.9977  0.9922  21.8759     12.000  12.000  12.000      7.3293   7.2541   7.2925    -0.58E-13  0.31E-12  0.86E-13
     2500  2.9977  1.0068  21.9809     12.000  12.000  12.000      7.2976   7.3061   7.3772     0.38E-13  0.28E-12  0.49E-13
     2600  2.9977  1.0227  22.0550     12.000  12.000  12.000      7.3388   7.3348   7.3813     0.97E-13 -0.61E-13 -0.18E-13
     2700  2.9977  0.9931  21.9970     12.000  12.000  12.000      7.3261   7.3690   7.3020     0.62E-13  0.10E-12  0.16E-12
     2800  2.9977  1.0033  21.9130     12.000  12.000  12.000      7.3356   7.2608   7.3165     0.32E-12  0.55E-12  0.22E-12
     2900  2.9977  0.9983  21.8970     12.000  12.000  12.000      7.3016   7.2737   7.3216     0.35E-13  0.20E-12  0.23E-12
     3000  2.9977  1.0043  21.8932     12.000  12.000  12.000      7.3249   7.2698   7.2985    -0.23E-12  0.55E-12  0.59E-12
     3100  2.9977  0.9993  21.9591     12.000  12.000  12.000      7.3038   7.3361   7.3192    -0.61E-13  0.44E-12  0.47E-12
     3200  2.9977  0.9827  22.0039     12.000  12.000  12.000      7.3290   7.3419   7.3330    -0.16E-12  0.43E-12  0.57E-12
     3300  2.9977  0.9741  21.8790     12.000  12.000  12.000      7.2564   7.3225   7.3000     0.15E-13  0.44E-12  0.44E-12
     3400  2.9977  1.0043  21.8982     12.000  12.000  12.000      7.2642   7.3094   7.3246     0.22E-12  0.21E-12  0.32E-12
     3500  2.9977  0.9897  21.9694     12.000  12.000  12.000      7.3181   7.3398   7.3115    -0.16E-12  0.36E-12  0.23E-12
     3600  2.9977  0.9988  21.8579     12.000  12.000  12.000      7.3291   7.2734   7.2554    -0.71E-13  0.22E-12  0.30E-12
     3700  2.9977  1.0078  21.9437     12.000  12.000  12.000      7.3249   7.2936   7.3251    -0.26E-12  0.21E-12  0.27E-12
     3800  2.9977  1.0206  21.9944     12.000  12.000  12.000      7.3457   7.3045   7.3443    -0.29E-12  0.15E-12  0.28E-12
     3900  2.9977  0.9868  21.9297     12.000  12.000  12.000      7.3223   7.2939   7.3136    -0.14E-12  0.82E-13  0.30E-12
     4000  2.9977  0.9926  22.0349     12.000  12.000  12.000      7.3834   7.3072   7.3443    -0.25E-12  0.39E-12  0.37E-12
     4100  2.9977  1.0015  21.8545     12.000  12.000  12.000      7.2760   7.2688   7.3096    -0.28E-12  0.26E-12  0.34E-12
     4200  2.9977  0.9954  21.9786     12.000  12.000  12.000      7.3359   7.2676   7.3751    -0.91E-13  0.27E-12  0.44E-12
