   step     dens     kT     pres         Lx      Ly      Lz          Px       Py       Pz         px        py        pz
      100  2.9977  1.0735  21.8653     12.000  12.000  12.000      7.3872   7.2469   7.2312    -0.12E-11  0.72E-13  0.30E-13
      200  2.9977  1.0328  21.9502     12.000  12.000  12.000      7.3928   7.2457   7.3117    -0.11E-11  0.20E-12 -0.90E-13
      300  2.9977  1.0071  22.0190     12.000  12.000  12.000      7.3419   7.3269   7.3502    -0.13E-11  0.29E-12 -0.16E-12
      400  2.9977  0.9954  21.9793     12.000  12.000  12.000      7.3739   7.3067   7.2987    -0.11E-11  0.29E-12 -0.91E-13
      500  2.9977  1.0080  22.1143     12.000  12.000  12.000      7.4210   7.3346   7.3587    -0.10E-11  0.31E-12 -0.89E-13
      600  2.9977  0.9889  21.9931     12.000  12.000  12.000      7.3671   7.2809   7.3451    -0.96E-12  0.32E-12 -0.19E-12
      700  2.9977  1.0131  22.0346     12.000  12.000  12.000      7.3264   7.3639   7.3443    -0.14E-11  0.51E-12 -0.27E-12
      800  2.9977  1.0114  22.0797     12.000  12.000  12.000      7.4039   7.2834   7.3924    -0.12E-11  0.63E-12  0.13E-12
      900  2.9977  1.0084  21.9251     12.000  12.000  12.000      7.3412   7.3154   7.2685    -0.13E-11  0.40E-12  0.49E-13
     1000  2.9977  0.9741  21.8756     12.000  12.000  12.000      7.3417   7.3325   7.2015    -0.12E-11  0.32E-12  0.77E-13
     1100  2.9977  0.9879  22.0169     12.000  12.000  12.000      7.3583   7.3303   7.3283    -0.12E-11  0.30E-12  0.32E-12
     1200  2.9977  1.0054  21.9846     12.000  12.000  12.000      7.4247   7.2829   7.2769    -0.14E-11  0.64E-12  0.35E-12
     1300  2.9977  0.9975  21.8427     12.000  12.000  12.000      7.3198   7.2993   7.2237    -0.14E-11  0.65E-12  0.28E-12
     1400  2.9977  1.0017  21.9147     12.000  12.000  12.000      7.3419   7.3031   7.2697    -0.13E-11  0.57E-12  0.98E-13
     1500  2.9977  1.0070  21.9377     12.000  12.000  12.000      7.3308   7.2983   7.3086    -0.93E-12  0.51E-12  0.47E-13
     1600  2.9977  1.0025  21.9199     12.000  12.000  12.000      7.3046   7.3104   7.3050    -0.12E-11  0.51E-12 -0.94E-13
     1700  2.9977  0.9975  21.8118     12.000  12.000  12.000      7.2674   7.2433   7.3011    -0.12E-11  0.11E-11  0.52E-13
     1800  2.9977  0.9988  21.8460     12.000  12.000  12.000      7.3012   7.3293   7.2155    -0.13E-11  0.59E-12  0.70E-13
     1900  2.9977  1.0124  21.9615     12.000  12.000  12.000      7.2745   7.3445   7.3425    -0.14E-11  0.47E-12  0.22E-12
     2000  2.9977  1.0115  21.8939     12.000  12.000  12.000      7.3002   7.2744   7.3194    -0.12E-11  0.63E-12  0.15E-12
     2100  2.9977  0.9926  21.8973     12.000  12.000  12.000      7.2971   7.2786   7.3217    -0.14E-11  0.56E-12  0.41E-12
     2200  2.9977  0.9727  21.7792     12.000  12.000  12.000      7.2645   7.2597   7.2551    -0.12E-11  0.64E-12  0.52E-12
     2300  2.9977  0.9886  21.7930     12.000  12.000  12.000      7.2569   7.2905   7.2455    -0.12E-11  0.71E-12  0.52E-12
     2400  2.9977  0.9964  21.8550     12.000  12.000  12.000      7.2837   7.2921   7.2793    -0.11E-11  0.67E-12  0.44E-12
     2500  2.9977  0.9909  21.8654     12.000  12.000  12.000      7.3290   7.2693   7.2671    -0.15E-11  0.54E-12  0.28E-12
     2600  2.9977  0.9909  21.8848     12.000  12.000  12.000      7.3374   7.2492   7.2982    -0.12E-11  0.64E-12  0.20E-12
     2700  2.9977  0.9850  21.8119     12.000  12.000  12.000      7.3497   7.2450   7.2173    -0.10E-11  0.53E-12  0.28E-12
     2800  2.9977  0.9883  21.8164     12.000  12.000  12.000      7.2685   7.2866   7.2613    -0.11E-11  0.63E-12  0.37E-12
     2900  2.9977  0.9876  21.7687     12.000  12.000  12.000      7.2842   7.2483   7.2361    -0.91E-12  0.88E-12  0.37E-12
     3000  2.9977  1.0044  21.9191     12.000  12.000  12.000      7.2695   7.2576   7.3921    -0.88E-12  0.84E-12  0.40E-12
     3100  2.9977  0.9992  21.8812     12.000  12.000  12.000      7.2609   7.3019   7.3184    -0.14E-11  0.73E-12  0.44E-12
     3200  2.9977  1.0055  21.8403     12.000  12.000  12.000      7.2988   7.3311   7.2104    -0.10E-11  0.73E-12  0.58E-12
     3300  2.9977  1.0063  21.8914     12.000  12.000  12.000      7.2780   7.3199   7.2935    -0.99E-12  0.11E-11  0.75E-12
     3400  2.9977  1.0072  21.7458     12.000  12.000  12.000      7.2432   7.2239   7.2787    -0.86E-12  0.96E-12  0.43E-12
     3500  2.9977  1.0157  21.9077     12.000  12.000  12.000      7.2781   7.2867   7.3430    -0.86E-12  0.86E-12  0.64E-12
     3600  2.9977  1.0047  21.9234     12.000  12.000  12.000      7.3352   7.2895   7.2986    -0.91E-12  0.87E-12  0.53E-12
     3700  2.9977  1.0073  21.8448     12.000  12.000  12.000      7.3023   7.2614   7.2810    -0.81E-12  0.11E-11  0.41E-12
     3800  2.9977  0.9948  21.7926     12.000  12.000  12.000      7.2499   7.2417   7.3010    -0.88E-12  0.11E-11  0.71E-12
     3900  2.9977  0.9996  21.8619     12.000  12.000  12.000      7.3275   7.2354   7.2990    -0.12E-11  0.81E-12  0.69E-12
     4000  2.9977  1.0006  21.8931     12.000  12.000  12.000      7.2822   7.2632   7.3477    -0.10E-11  0.72E-12  0.61E-12
     4100  2.9977  0.9972  21.9127     12.000  12.000  12.000      7.2874   7.3516   7.2737    -0.10E-11  0.86E-12  0.51E-12
     4200  2.9977  0.9951  21.9125     12.000  12.000  12.000      7.3163   7.3146   7.2817    -0.11E-11  0.81E-12  0.59E-12
     4300  2.9977  0.9970  21.8901     12.000  12.000  12.000      7.2378   7.2907   7.3617    -0.10E-11  0.74E-12  0.29E-12
     4400  2.9977  0.9905  21.8314     12.000  12.000  12.000      7.2436   7.3074   7.2804    -0.83E-12  0.90E-12  0.39E-12
     4500  2.9977  1.0256  21.9427     12.000  12.000  12.000      7.2418   7.3315   7.3693    -0.99E-12  0.68E-12  0.52E-12
     4600  2.9977  1.0050  21.8937     12.000  12.000  12.000      7.3029   7.2516   7.3393    -0.11E-11  0.89E-12  0.26E-12
     4700  2.9977  1.0025  21.8447     12.000  12.000  12.000      7.2513   7.2830   7.3104    -0.10E-11  0.73E-12  0.52E-13
     4800  2.9977  0.9762  21.7511     12.000  12.000  12.000      7.2465   7.2423   7.2623    -0.12E-11  0.89E-12  0.29E-12
     4900  2.9977  1.0099  21.8930     12.000  12.000  12.000      7.2982   7.3083   7.2865    -0.13E-11  0.82E-12  0.31E-12
     5000  2.9977  1.0020  21.9218     12.000  12.000  12.000      7.2563   7.3084   7.3570    -0.10E-11  0.73E-12  0.27E-12
     5100  2.9977  1.0046  21.8261     12.000  12.000  12.000      7.3154   7.2542   7.2565     0.58E-13  0.10E-12  0.32E-12
     5200  2.9977  1.0112  21.8445     12.000  12.000  12.000      7.2764   7.2150   7.3531     0.17E-12  0.35E-12  0.39E-12
     5300  2.9977  0.9995  21.8044     12.000  12.000  12.000      7.2391   7.2619   7.3034     0.11E-12  0.31E-12  0.20E-12
