   step     dens     kT     pres         Lx      Ly      Lz          Px       Py       Pz         px        py        pz
      100  2.9977  1.0723  21.2155     12.000  12.000  12.000      7.1016   7.0766   7.0374     0.12E-12 -0.39E-13 -0.37E-12
      200  2.9977  1.0181  21.5008     12.000  12.000  12.000      7.2125   7.1672   7.1211    -0.15E-12  0.24E-13 -0.38E-12
      300  2.9977  1.0107  21.6712     12.000  12.000  12.000      7.1706   7.2805   7.2201    -0.26E-12  0.24E-13 -0.39E-12
      400  2.9977  0.9974  21.8850     12.000  12.000  12.000      7.3065   7.2757   7.3028    -0.42E-13  0.89E-13 -0.57E-12
      500  2.9977  1.0028  21.8865     12.000  12.000  12.000      7.3258   7.2997   7.2609    -0.32E-12  0.15E-12 -0.61E-12
      600  2.9977  1.0001  21.9244     12.000  12.000  12.000      7.2285   7.3335   7.3624    -0.16E-12  0.15E-12 -0.50E-12
      700  2.9977  0.9952  21.9778     12.000  12.000  12.000      7.3085   7.3379   7.3314     0.83E-13  0.18E-12 -0.48E-12
      800  2.9977  0.9976  21.8444     12.000  12.000  12.000      7.2723   7.2632   7.3089     0.25E-12  0.13E-12 -0.49E-12
      900  2.9977  0.9955  21.8723     12.000  12.000  12.000      7.2883   7.3409   7.2431     0.12E-12  0.18E-12 -0.39E-12
     1000  2.9977  1.0083  21.9102     12.000  12.000  12.000      7.2853   7.3335   7.2914     0.20E-12 -0.93E-13 -0.53E-12
     1100  2.9977  0.9910  21.9407     12.000  12.000  12.000      7.3253   7.2940   7.3215     0.21E-12  0.23E-12 -0.65E-12
     1200  2.9977  1.0003  21.9478     12.000  12.000  12.000      7.4142   7.2866   7.2470     0.13E-12  0.19E-12 -0.50E-12
     1300  2.9977  0.9932  21.9476     12.000  12.000  12.000      7.3135   7.2750   7.3592     0.22E-12  0.29E-12 -0.68E-12
     1400  2.9977  1.0216  22.0075     12.000  12.000  12.000      7.3252   7.3594   7.3229     0.32E-12  0.87E-13 -0.68E-12
     1500  2.9977  1.0002  21.9201     12.000  12.000  12.000      7.3370   7.3059   7.2773     0.69E-13  0.21E-14 -0.10E-11
     1600  2.9977  0.9865  21.8861     12.000  12.000  12.000      7.2769   7.3089   7.3004    -0.15E-12  0.13E-12 -0.90E-12
     1700  2.9977  0.9828  22.0710     12.000  12.000  12.000      7.3794   7.3538   7.3378     0.38E-12 -0.17E-13 -0.12E-11
     1800  2.9977  0.9908  21.9974     12.000  12.000  12.000      7.3302   7.3516   7.3156     0.32E-12  0.90E-13 -0.13E-11
     1900  2.9977  0.9921  21.8465     12.000  12.000  12.000      7.2573   7.3044   7.2849     0.36E-12 -0.51E-13 -0.81E-12
     2000  2.9977  1.0216  22.0809     12.000  12.000  12.000      7.3267   7.3222   7.4320     0.43E-12 -0.63E-14 -0.78E-12
     2100  2.9977  0.9925  22.0136     12.000  12.000  12.000      7.3653   7.3148   7.3334     0.12E-12 -0.15E-13 -0.91E-12
     2200  2.9977  0.9737  21.8000     12.000  12.000  12.000      7.2548   7.2600   7.2852     0.39E-12 -0.12E-13 -0.76E-12
     2300  2.9977  1.0051  21.8866     12.000  12.000  12.000      7.2579   7.3118   7.3169     0.44E-12  0.30E-12 -0.91E-12
     2400  2.9977  0.9994  21.8396     12.000  12.000  12.000      7.2825   7.2691   7.2880     0.45E-12  0.35E-12 -0.10E-11
     2500  2.9977  1.0075  21.9806     12.000  12.000  12.000      7.3338   7.3357   7.3110     0.43E-12  0.58E-12 -0.11E-11
     2600  2.9977  1.0060  21.9211     12.000  12.000  12.000      7.3335   7.2678   7.3197     0.75E-12  0.46E-12 -0.65E-12
