   step     dens     kT     pres         Lx      Ly      Lz          Px       Py       Pz         px        py        pz
      100  2.9977  1.1095  22.3316     12.000  12.000  12.000      7.4101   7.4336   7.4879    -0.28E-12 -0.18E-12 -0.17E-12
      200  2.9977  1.0435  22.3739     12.000  12.000  12.000      7.4008   7.5224   7.4506    -0.23E-12 -0.28E-12 -0.31E-12
      300  2.9977  1.0050  22.3352     12.000  12.000  12.000      7.4011   7.4868   7.4473    -0.38E-12 -0.26E-13 -0.19E-12
      400  2.9977  0.9839  22.2329     12.000  12.000  12.000      7.3874   7.4192   7.4263    -0.41E-12 -0.58E-13 -0.27E-12
      500  2.9977  1.0064  22.1688     12.000  12.000  12.000      7.3890   7.4144   7.3654    -0.26E-12 -0.43E-12 -0.36E-12
      600  2.9977  1.0089  22.0766     12.000  12.000  12.000      7.3374   7.3706   7.3686    -0.11E-12 -0.17E-12 -0.26E-12
      700  2.9977  1.0091  22.1084     12.000  12.000  12.000      7.3678   7.3761   7.3644    -0.30E-12 -0.82E-13 -0.29E-12
      800  2.9977  1.0087  22.0445     12.000  12.000  12.000      7.3365   7.3248   7.3833    -0.18E-12 -0.51E-13 -0.38E-12
      900  2.9977  1.0035  22.0086     12.000  12.000  12.000      7.2768   7.3654   7.3664    -0.37E-12 -0.36E-12 -0.47E-12
     1000  2.9977  0.9785  22.0247     12.000  12.000  12.000      7.3562   7.2996   7.3688    -0.21E-12 -0.12E-12 -0.55E-12
     1100  2.9977  1.0064  22.0628     12.000  12.000  12.000      7.3278   7.3891   7.3459    -0.41E-12  0.99E-14 -0.51E-12
     1200  2.9977  1.0111  21.9955     12.000  12.000  12.000      7.3141   7.3366   7.3448    -0.38E-12  0.10E-12 -0.75E-12
     1300  2.9977  0.9969  21.9660     12.000  12.000  12.000      7.3417   7.2958   7.3285    -0.40E-12 -0.22E-12 -0.42E-12
     1400  2.9977  1.0196  21.9271     12.000  12.000  12.000      7.3348   7.2892   7.3032    -0.18E-12 -0.45E-13 -0.62E-12
     1500  2.9977  0.9912  21.9265     12.000  12.000  12.000      7.3272   7.2407   7.3586    -0.50E-12  0.48E-13 -0.82E-12
     1600  2.9977  0.9758  21.8017     12.000  12.000  12.000      7.2506   7.3059   7.2452    -0.52E-12  0.15E-12 -0.67E-12
     1700  2.9977  0.9861  21.9173     12.000  12.000  12.000      7.3419   7.2733   7.3021    -0.55E-12  0.81E-13 -0.84E-12
     1800  2.9977  0.9963  21.8034     12.000  12.000  12.000      7.3087   7.2733   7.2214    -0.39E-12  0.14E-12 -0.92E-12
     1900  2.9977  0.9963  21.9182     12.000  12.000  12.000      7.3658   7.2562   7.2962    -0.49E-12  0.32E-12 -0.77E-12
     2000  2.9977  0.9754  21.7717     12.000  12.000  12.000      7.2098   7.3105   7.2515    -0.35E-12  0.49E-12 -0.77E-12
     2100  2.9977  1.0036  21.8530     12.000  12.000  12.000      7.3441   7.2649   7.2440    -0.35E-12  0.60E-12 -0.91E-12
     2200  2.9977  1.0001  21.9769     12.000  12.000  12.000      7.2998   7.3002   7.3769    -0.25E-12  0.48E-12 -0.82E-12
     2300  2.9977  0.9898  21.8458     12.000  12.000  12.000      7.2618   7.2529   7.3310    -0.19E-12  0.43E-12 -0.91E-12
     2400  2.9977  0.9955  21.8413     12.000  12.000  12.000      7.2845   7.2763   7.2806    -0.21E-12  0.52E-12 -0.86E-12
     2500  2.9977  1.0154  21.9252     12.000  12.000  12.000      7.3099   7.2970   7.3183    -0.18E-12  0.59E-12 -0.10E-11
     2600  2.9977  1.0015  21.8913     12.000  12.000  12.000      7.2703   7.3288   7.2922    -0.49E-12  0.10E-11 -0.92E-12
     2700  2.9977  1.0031  21.9260     12.000  12.000  12.000      7.2799   7.2809   7.3652    -0.20E-12  0.80E-12 -0.10E-11
     2800  2.9977  0.9839  21.9548     12.000  12.000  12.000      7.3215   7.3195   7.3139    -0.26E-12  0.93E-12 -0.13E-11
     2900  2.9977  1.0120  21.8411     12.000  12.000  12.000      7.2189   7.3380   7.2842    -0.25E-12  0.75E-12 -0.12E-11
     3000  2.9977  0.9948  21.9600     12.000  12.000  12.000      7.2732   7.3828   7.3040    -0.41E-12  0.80E-12 -0.97E-12
     3100  2.9977  0.9892  21.8543     12.000  12.000  12.000      7.2975   7.2888   7.2680    -0.23E-12  0.79E-12 -0.96E-12
     3200  2.9977  0.9996  21.7608     12.000  12.000  12.000      7.2063   7.2697   7.2848    -0.35E-12  0.73E-12 -0.81E-12
     3300  2.9977  1.0138  21.9410     12.000  12.000  12.000      7.2673   7.3184   7.3552    -0.52E-12  0.63E-12 -0.10E-11
     3400  2.9977  0.9868  21.8736     12.000  12.000  12.000      7.2680   7.2578   7.3478    -0.28E-12  0.68E-12 -0.90E-12
     3500  2.9977  1.0010  21.8081     12.000  12.000  12.000      7.2582   7.2130   7.3369    -0.14E-12  0.87E-12 -0.84E-12
     3600  2.9977  1.0248  21.9707     12.000  12.000  12.000      7.3008   7.3486   7.3212    -0.24E-12  0.79E-12 -0.86E-12
     3700  2.9977  0.9754  21.7675     12.000  12.000  12.000      7.2396   7.2967   7.2312    -0.26E-12  0.56E-12 -0.10E-11
     3800  2.9977  0.9868  21.7295     12.000  12.000  12.000      7.1666   7.2881   7.2748    -0.21E-12  0.63E-12 -0.10E-11
     3900  2.9977  0.9972  21.7938     12.000  12.000  12.000      7.2556   7.2751   7.2632    -0.36E-12  0.44E-12 -0.83E-12
     4000  2.9977  1.0177  21.9099     12.000  12.000  12.000      7.3120   7.3031   7.2948    -0.38E-12  0.38E-12 -0.86E-12
     4100  2.9977  1.0266  21.8401     12.000  12.000  12.000      7.2863   7.2628   7.2909    -0.38E-12  0.58E-12 -0.10E-11
     4200  2.9977  0.9918  21.7338     12.000  12.000  12.000      7.2269   7.2464   7.2605    -0.29E-12  0.41E-12 -0.89E-12
     4300  2.9977  1.0156  21.8479     12.000  12.000  12.000      7.2915   7.2719   7.2845    -0.47E-12  0.73E-12 -0.10E-11
     4400  2.9977  0.9872  21.7581     12.000  12.000  12.000      7.2106   7.3103   7.2372    -0.27E-12  0.58E-12 -0.79E-12
     4500  2.9977  1.0110  21.8886     12.000  12.000  12.000      7.2744   7.3372   7.2770    -0.46E-12  0.38E-12 -0.75E-12
     4600  2.9977  1.0148  21.8963     12.000  12.000  12.000      7.3007   7.2952   7.3004    -0.13E-12  0.59E-12 -0.82E-12
     4700  2.9977  0.9962  21.8839     12.000  12.000  12.000      7.2854   7.2756   7.3229    -0.33E-12  0.53E-12 -0.76E-12
     4800  2.9977  1.0050  21.7995     12.000  12.000  12.000      7.2810   7.2355   7.2830    -0.35E-12  0.74E-12 -0.76E-12
     4900  2.9977  0.9897  21.8823     12.000  12.000  12.000      7.3305   7.2843   7.2676    -0.34E-12  0.82E-12 -0.74E-12
     5000  2.9977  1.0142  21.8671     12.000  12.000  12.000      7.2714   7.2726   7.3231    -0.55E-12  0.81E-12 -0.64E-12
     5100  2.9977  0.9910  21.9247     12.000  12.000  12.000      7.2874   7.3141   7.3232     0.44E-13  0.24E-13 -0.24E-13
     5200  2.9977  1.0214  21.9754     12.000  12.000  12.000      7.2583   7.3635   7.3536    -0.39E-13 -0.14E-12 -0.41E-13
     5300  2.9977  0.9726  21.7813     12.000  12.000  12.000      7.2584   7.2853   7.2376    -0.18E-12  0.79E-13 -0.14E-12
     5400  2.9977  1.0027  21.8999     12.000  12.000  12.000      7.3144   7.3058   7.2797    -0.26E-12  0.64E-14 -0.51E-13
     5500  2.9977  0.9751  21.7351     12.000  12.000  12.000      7.2150   7.2791   7.2410    -0.14E-13  0.43E-12 -0.94E-13
     5600  2.9977  1.0067  21.8728     12.000  12.000  12.000      7.2308   7.3513   7.2908    -0.10E-12  0.48E-12  0.95E-14
     5700  2.9977  0.9867  21.7231     12.000  12.000  12.000      7.2415   7.2242   7.2574     0.14E-12  0.36E-12 -0.12E-13
     5800  2.9977  1.0008  21.8513     12.000  12.000  12.000      7.2873   7.2104   7.3536    -0.18E-12  0.41E-12  0.41E-12
     5900  2.9977  1.0020  21.9495     12.000  12.000  12.000      7.3279   7.2787   7.3430    -0.22E-12  0.39E-12  0.12E-12
     6000  2.9977  1.0116  21.9355     12.000  12.000  12.000      7.2893   7.3284   7.3177    -0.87E-13  0.16E-12  0.47E-12
     6100  2.9977  1.0124  21.9539     12.000  12.000  12.000      7.2854   7.3194   7.3491     0.43E-14  0.50E-12  0.19E-12
     6200  2.9977  1.0048  21.8682     12.000  12.000  12.000      7.3184   7.2385   7.3113     0.22E-15  0.38E-12  0.31E-12
     6300  2.9977  1.0056  21.8529     12.000  12.000  12.000      7.2436   7.2884   7.3209    -0.75E-13  0.60E-12  0.11E-12
     6400  2.9977  0.9975  21.8557     12.000  12.000  12.000      7.3055   7.2639   7.2862    -0.13E-12  0.60E-12  0.22E-12
     6500  2.9977  1.0038  21.9803     12.000  12.000  12.000      7.3328   7.3110   7.3364    -0.23E-12  0.30E-12 -0.87E-13
     6600  2.9977  0.9958  21.8629     12.000  12.000  12.000      7.2354   7.3039   7.3236    -0.13E-12  0.35E-12 -0.21E-12
     6700  2.9977  1.0015  21.8622     12.000  12.000  12.000      7.2644   7.3046   7.2932    -0.30E-12  0.35E-12 -0.24E-12
     6800  2.9977  0.9877  21.8732     12.000  12.000  12.000      7.2891   7.3069   7.2772    -0.12E-12  0.41E-12 -0.33E-12
     6900  2.9977  0.9829  21.7861     12.000  12.000  12.000      7.2198   7.2789   7.2874    -0.17E-12  0.63E-12 -0.17E-12
     7000  2.9977  0.9932  21.8753     12.000  12.000  12.000      7.3143   7.2836   7.2774    -0.19E-12  0.83E-12 -0.30E-12
     7100  2.9977  1.0076  21.8425     12.000  12.000  12.000      7.3133   7.2756   7.2536    -0.22E-12  0.65E-12 -0.17E-12
     7200  2.9977  1.0129  21.9623     12.000  12.000  12.000      7.3147   7.2990   7.3486    -0.41E-12  0.50E-12 -0.32E-12
     7300  2.9977  0.9970  21.7989     12.000  12.000  12.000      7.2413   7.2813   7.2762    -0.37E-12  0.43E-12 -0.12E-12
     7400  2.9977  1.0001  21.8037     12.000  12.000  12.000      7.2341   7.2971   7.2724    -0.34E-12  0.57E-12 -0.53E-12
     7500  2.9977  0.9998  21.8111     12.000  12.000  12.000      7.2521   7.2816   7.2774    -0.14E-12  0.66E-12 -0.67E-12
     7600  2.9977  0.9928  21.8731     12.000  12.000  12.000      7.2780   7.2928   7.3023     0.32E-13  0.45E-12 -0.60E-12
     7700  2.9977  1.0103  21.8966     12.000  12.000  12.000      7.2992   7.3541   7.2433    -0.23E-12  0.55E-12 -0.69E-12
     7800  2.9977  1.0141  21.9050     12.000  12.000  12.000      7.3335   7.3059   7.2655    -0.21E-12  0.40E-12 -0.41E-12
     7900  2.9977  1.0045  21.9196     12.000  12.000  12.000      7.2671   7.3476   7.3049    -0.15E-12  0.51E-12 -0.38E-12
     8000  2.9977  1.0039  21.8245     12.000  12.000  12.000      7.2723   7.2674   7.2848    -0.24E-12  0.48E-12 -0.37E-12
     8100  2.9977  0.9969  21.8502     12.000  12.000  12.000      7.2951   7.2560   7.2991    -0.32E-12  0.45E-12 -0.30E-12
     8200  2.9977  1.0097  21.8378     12.000  12.000  12.000      7.2621   7.2795   7.2962    -0.64E-13  0.54E-12 -0.45E-12
     8300  2.9977  0.9761  21.8767     12.000  12.000  12.000      7.2834   7.2956   7.2977    -0.15E-12  0.43E-12 -0.16E-12
     8400  2.9977  0.9884  21.9211     12.000  12.000  12.000      7.2915   7.3300   7.2995     0.12E-13  0.25E-12 -0.32E-12
     8500  2.9977  0.9970  21.8611     12.000  12.000  12.000      7.2436   7.2982   7.3192     0.43E-13  0.32E-12 -0.30E-12
     8600  2.9977  1.0152  21.9654     12.000  12.000  12.000      7.2670   7.3856   7.3128     0.13E-12  0.28E-12 -0.35E-12
     8700  2.9977  0.9621  21.7521     12.000  12.000  12.000      7.2914   7.2662   7.1945     0.14E-12  0.14E-12 -0.50E-12
     8800  2.9977  0.9978  21.8536     12.000  12.000  12.000      7.2853   7.2726   7.2957     0.83E-13  0.11E-12 -0.42E-12
     8900  2.9977  1.0065  21.9044     12.000  12.000  12.000      7.2441   7.3151   7.3452    -0.59E-13  0.63E-13 -0.40E-12
     9000  2.9977  1.0077  21.8245     12.000  12.000  12.000      7.2371   7.3176   7.2698     0.11E-12  0.33E-12 -0.21E-12
     9100  2.9977  0.9987  21.8429     12.000  12.000  12.000      7.2611   7.3201   7.2616     0.34E-13  0.24E-12 -0.15E-12
     9200  2.9977  1.0023  21.7687     12.000  12.000  12.000      7.2282   7.3085   7.2320    -0.95E-13  0.27E-12 -0.11E-12
     9300  2.9977  0.9947  21.8500     12.000  12.000  12.000      7.2581   7.3629   7.2290     0.16E-13  0.70E-12 -0.16E-12
