   step     dens     kT     pres         Lx      Ly      Lz          Px       Py       Pz         px        py        pz
      100  2.9977  1.1008  22.2456     12.000  12.000  12.000      7.4434   7.4025   7.3997     0.75E-13  0.19E-12  0.16E-12
      200  2.9977  1.0476  22.3421     12.000  12.000  12.000      7.4568   7.4015   7.4839    -0.21E-12  0.49E-13  0.79E-13
      300  2.9977  0.9999  22.0160     12.000  12.000  12.000      7.3744   7.2779   7.3638    -0.13E-12  0.75E-12  0.15E-12
      400  2.9977  1.0086  22.1232     12.000  12.000  12.000      7.3653   7.3363   7.4216    -0.11E-12  0.37E-12 -0.77E-13
      500  2.9977  0.9963  22.1151     12.000  12.000  12.000      7.3579   7.3727   7.3845    -0.16E-13  0.31E-12  0.12E-12
      600  2.9977  1.0105  22.1443     12.000  12.000  12.000      7.3729   7.3966   7.3749    -0.19E-12  0.76E-13  0.12E-12
      700  2.9977  0.9937  21.9772     12.000  12.000  12.000      7.3482   7.2648   7.3641    -0.33E-13  0.15E-12  0.54E-13
      800  2.9977  0.9816  21.8846     12.000  12.000  12.000      7.3621   7.2368   7.2858    -0.44E-12  0.24E-12  0.18E-13
      900  2.9977  1.0064  22.0695     12.000  12.000  12.000      7.3986   7.3402   7.3306    -0.30E-12  0.23E-12 -0.88E-14
     1000  2.9977  0.9950  22.0798     12.000  12.000  12.000      7.3665   7.4053   7.3081    -0.34E-12  0.23E-12  0.14E-12
     1100  2.9977  1.0238  22.0792     12.000  12.000  12.000      7.3577   7.3342   7.3873    -0.47E-12  0.33E-12  0.94E-13
     1200  2.9977  0.9915  21.9463     12.000  12.000  12.000      7.3063   7.3240   7.3160    -0.58E-12  0.26E-12  0.25E-12
     1300  2.9977  0.9928  21.9196     12.000  12.000  12.000      7.2974   7.2808   7.3414    -0.50E-12  0.20E-12  0.32E-12
     1400  2.9977  0.9928  21.8851     12.000  12.000  12.000      7.2753   7.2916   7.3182    -0.47E-12 -0.19E-12  0.47E-12
     1500  2.9977  0.9892  21.7922     12.000  12.000  12.000      7.2672   7.2599   7.2651    -0.61E-12  0.29E-12  0.31E-12
     1600  2.9977  1.0164  21.9239     12.000  12.000  12.000      7.3183   7.3182   7.2874    -0.54E-12  0.11E-12  0.20E-12
     1700  2.9977  1.0002  21.7837     12.000  12.000  12.000      7.2407   7.2966   7.2463    -0.33E-12  0.71E-13  0.27E-12
     1800  2.9977  0.9966  21.8223     12.000  12.000  12.000      7.2480   7.2999   7.2744    -0.27E-12 -0.36E-14  0.45E-12
     1900  2.9977  0.9917  21.7952     12.000  12.000  12.000      7.3105   7.2431   7.2416    -0.40E-12 -0.58E-13  0.49E-12
     2000  2.9977  1.0090  21.8680     12.000  12.000  12.000      7.3330   7.2992   7.2359    -0.41E-12 -0.28E-13  0.37E-12
     2100  2.9977  0.9943  21.7091     12.000  12.000  12.000      7.2382   7.2432   7.2278    -0.48E-12  0.11E-12  0.47E-12
     2200  2.9977  0.9885  21.7873     12.000  12.000  12.000      7.2418   7.2800   7.2656    -0.45E-12  0.89E-14  0.40E-12
     2300  2.9977  1.0023  21.8031     12.000  12.000  12.000      7.2409   7.2711   7.2912    -0.48E-12  0.48E-13  0.17E-12
     2400  2.9977  0.9929  21.6622     12.000  12.000  12.000      7.1999   7.2390   7.2233    -0.54E-12 -0.12E-12  0.28E-13
     2500  2.9977  1.0161  21.7874     12.000  12.000  12.000      7.2729   7.2763   7.2382    -0.52E-12 -0.13E-13  0.19E-13
     2600  2.9977  1.0131  21.9069     12.000  12.000  12.000      7.3322   7.2763   7.2984    -0.65E-12  0.31E-12  0.18E-12
     2700  2.9977  1.0230  21.8684     12.000  12.000  12.000      7.3410   7.3228   7.2046    -0.59E-12  0.36E-12  0.22E-12
     2800  2.9977  1.0061  21.8989     12.000  12.000  12.000      7.2830   7.3422   7.2737    -0.58E-12  0.17E-13 -0.78E-13
     2900  2.9977  1.0069  21.8342     12.000  12.000  12.000      7.2817   7.2276   7.3249    -0.61E-12  0.32E-12  0.94E-13
     3000  2.9977  1.0259  21.9137     12.000  12.000  12.000      7.3340   7.2676   7.3121    -0.56E-12  0.47E-13  0.12E-12
     3100  2.9977  0.9894  21.7336     12.000  12.000  12.000      7.1985   7.2954   7.2397    -0.65E-12  0.42E-12 -0.41E-13
     3200  2.9977  0.9987  21.8873     12.000  12.000  12.000      7.3009   7.3210   7.2654    -0.59E-12  0.41E-12  0.21E-12
     3300  2.9977  1.0280  21.9557     12.000  12.000  12.000      7.3262   7.3178   7.3118    -0.59E-12  0.35E-12  0.86E-13
     3400  2.9977  0.9741  21.7903     12.000  12.000  12.000      7.2511   7.2816   7.2576    -0.66E-12  0.55E-12  0.14E-12
     3500  2.9977  0.9939  21.7770     12.000  12.000  12.000      7.2551   7.2933   7.2286    -0.50E-12  0.50E-12 -0.43E-13
     3600  2.9977  1.0140  21.8873     12.000  12.000  12.000      7.3192   7.2894   7.2787    -0.72E-12  0.28E-12  0.60E-13
     3700  2.9977  1.0214  21.8430     12.000  12.000  12.000      7.3447   7.2456   7.2527    -0.69E-12  0.34E-12  0.36E-12
     3800  2.9977  1.0160  21.8670     12.000  12.000  12.000      7.2879   7.3224   7.2567    -0.61E-12  0.27E-12  0.82E-14
     3900  2.9977  0.9995  21.8695     12.000  12.000  12.000      7.2958   7.2484   7.3253    -0.61E-12  0.42E-12 -0.15E-12
     4000  2.9977  1.0177  21.9417     12.000  12.000  12.000      7.3281   7.3436   7.2700    -0.74E-12  0.26E-12 -0.24E-13
     4100  2.9977  0.9938  21.7368     12.000  12.000  12.000      7.2432   7.2854   7.2082    -0.81E-12  0.24E-12 -0.47E-13
     4200  2.9977  1.0093  21.8022     12.000  12.000  12.000      7.2888   7.2544   7.2590    -0.78E-12  0.15E-12 -0.10E-12
     4300  2.9977  0.9915  21.8002     12.000  12.000  12.000      7.3264   7.2718   7.2020    -0.10E-11  0.24E-12 -0.12E-12
     4400  2.9977  0.9899  21.7497     12.000  12.000  12.000      7.2755   7.2384   7.2358    -0.85E-12  0.66E-12 -0.16E-13
     4500  2.9977  1.0169  21.8429     12.000  12.000  12.000      7.2572   7.3165   7.2692    -0.84E-12  0.41E-12  0.39E-13
     4600  2.9977  0.9847  21.7685     12.000  12.000  12.000      7.2650   7.3233   7.1802    -0.72E-12  0.43E-12  0.30E-13
     4700  2.9977  0.9862  21.7093     12.000  12.000  12.000      7.2295   7.1979   7.2818    -0.94E-12  0.18E-12  0.87E-13
     4800  2.9977  0.9831  21.7953     12.000  12.000  12.000      7.3110   7.2464   7.2379    -0.75E-12  0.31E-12 -0.93E-13
     4900  2.9977  0.9986  21.9463     12.000  12.000  12.000      7.2939   7.3276   7.3248    -0.72E-12  0.44E-12  0.35E-13
     5000  2.9977  0.9900  21.9145     12.000  12.000  12.000      7.3057   7.3038   7.3050    -0.92E-12  0.56E-12 -0.17E-12
     5100  2.9977  0.9894  21.7998     12.000  12.000  12.000      7.2102   7.2987   7.2909     0.10E-12  0.11E-12 -0.14E-12
     5200  2.9977  0.9923  21.8260     12.000  12.000  12.000      7.2397   7.3381   7.2482     0.51E-13  0.30E-13  0.92E-13
     5300  2.9977  1.0089  21.7639     12.000  12.000  12.000      7.2184   7.3042   7.2414     0.15E-12  0.13E-12 -0.64E-13
     5400  2.9977  1.0088  21.7695     12.000  12.000  12.000      7.2908   7.2535   7.2252     0.81E-13 -0.27E-12  0.55E-13
     5500  2.9977  0.9919  21.7159     12.000  12.000  12.000      7.2152   7.2814   7.2193     0.29E-12 -0.33E-12  0.19E-12
     5600  2.9977  1.0052  21.7793     12.000  12.000  12.000      7.2486   7.3055   7.2252     0.41E-12 -0.26E-12  0.11E-12
     5700  2.9977  0.9976  21.8607     12.000  12.000  12.000      7.2906   7.2662   7.3038     0.27E-12 -0.38E-12  0.31E-12
     5800  2.9977  1.0104  21.9002     12.000  12.000  12.000      7.2670   7.3458   7.2874     0.35E-12 -0.31E-12  0.62E-13
     5900  2.9977  1.0044  21.8476     12.000  12.000  12.000      7.2787   7.3078   7.2611     0.29E-12 -0.37E-12  0.16E-12
     6000  2.9977  0.9766  21.8313     12.000  12.000  12.000      7.2327   7.3303   7.2683     0.60E-13 -0.46E-12  0.34E-12
     6100  2.9977  0.9879  21.7559     12.000  12.000  12.000      7.2636   7.2399   7.2524     0.30E-12 -0.10E-12  0.33E-12
     6200  2.9977  1.0017  21.7962     12.000  12.000  12.000      7.2677   7.2538   7.2747     0.37E-12 -0.20E-12  0.42E-12
     6300  2.9977  1.0006  21.8041     12.000  12.000  12.000      7.2539   7.3005   7.2497     0.40E-12  0.25E-12  0.21E-12
     6400  2.9977  0.9890  21.7931     12.000  12.000  12.000      7.2972   7.2359   7.2599     0.63E-12 -0.93E-13  0.25E-12
     6500  2.9977  1.0112  21.7724     12.000  12.000  12.000      7.2906   7.2253   7.2564     0.59E-12  0.20E-13  0.47E-12
     6600  2.9977  0.9935  21.8485     12.000  12.000  12.000      7.2861   7.2802   7.2823     0.67E-12 -0.92E-13  0.51E-13
     6700  2.9977  0.9866  21.7846     12.000  12.000  12.000      7.2406   7.2533   7.2907     0.48E-12 -0.16E-12  0.12E-12
     6800  2.9977  0.9947  21.8402     12.000  12.000  12.000      7.2603   7.2905   7.2894     0.73E-12 -0.49E-13  0.15E-12
     6900  2.9977  0.9938  21.7509     12.000  12.000  12.000      7.2622   7.2951   7.1937     0.65E-12 -0.19E-12  0.21E-13
     7000  2.9977  1.0028  21.7695     12.000  12.000  12.000      7.2412   7.2786   7.2496     0.56E-12 -0.22E-12  0.13E-12
     7100  2.9977  1.0091  21.8749     12.000  12.000  12.000      7.2644   7.3434   7.2672     0.54E-12 -0.17E-12  0.64E-13
     7200  2.9977  1.0020  21.8530     12.000  12.000  12.000      7.2628   7.3468   7.2434     0.70E-12 -0.24E-12  0.31E-13
     7300  2.9977  1.0119  21.8720     12.000  12.000  12.000      7.2970   7.2901   7.2848     0.60E-12 -0.40E-12  0.26E-12
     7400  2.9977  0.9974  21.7923     12.000  12.000  12.000      7.2379   7.3182   7.2362     0.76E-12 -0.48E-12  0.41E-12
     7500  2.9977  1.0053  21.8541     12.000  12.000  12.000      7.2868   7.3179   7.2494     0.95E-12 -0.29E-12  0.27E-12
     7600  2.9977  0.9796  21.7607     12.000  12.000  12.000      7.2645   7.2482   7.2481     0.56E-12 -0.45E-12  0.31E-12
     7700  2.9977  1.0058  21.8989     12.000  12.000  12.000      7.2920   7.3268   7.2801     0.89E-12 -0.54E-12  0.74E-13
     7800  2.9977  0.9964  21.7774     12.000  12.000  12.000      7.2807   7.2463   7.2503     0.79E-12 -0.43E-12  0.61E-13
     7900  2.9977  0.9952  21.7646     12.000  12.000  12.000      7.2630   7.2965   7.2051     0.50E-12 -0.39E-12  0.95E-13
     8000  2.9977  0.9983  21.7634     12.000  12.000  12.000      7.2129   7.2618   7.2887     0.59E-12 -0.34E-12  0.54E-13
     8100  2.9977  0.9841  21.7137     12.000  12.000  12.000      7.2094   7.2843   7.2201     0.61E-12 -0.43E-12  0.24E-12
     8200  2.9977  0.9833  21.7455     12.000  12.000  12.000      7.2227   7.3072   7.2156     0.86E-12 -0.60E-12  0.11E-12
     8300  2.9977  0.9865  21.8725     12.000  12.000  12.000      7.2577   7.3255   7.2892     0.56E-12 -0.24E-12 -0.92E-14
     8400  2.9977  0.9911  21.7662     12.000  12.000  12.000      7.2898   7.2163   7.2601     0.77E-12 -0.29E-12  0.84E-13
     8500  2.9977  0.9898  21.7905     12.000  12.000  12.000      7.2801   7.2893   7.2211     0.89E-12 -0.15E-12  0.25E-12
     8600  2.9977  0.9889  21.7193     12.000  12.000  12.000      7.2037   7.2687   7.2469     0.96E-12 -0.58E-12  0.23E-12
     8700  2.9977  1.0173  21.7570     12.000  12.000  12.000      7.3063   7.2287   7.2220     0.78E-12 -0.39E-12  0.51E-12
     8800  2.9977  1.0092  21.8102     12.000  12.000  12.000      7.2705   7.2425   7.2973     0.91E-12 -0.31E-12  0.26E-13
     8900  2.9977  1.0117  21.8457     12.000  12.000  12.000      7.2439   7.3241   7.2777     0.12E-11 -0.25E-12  0.26E-12
     9000  2.9977  1.0015  21.7794     12.000  12.000  12.000      7.2761   7.2178   7.2856     0.11E-11 -0.35E-12 -0.51E-13
     9100  2.9977  0.9889  21.7666     12.000  12.000  12.000      7.2279   7.2820   7.2567     0.82E-12 -0.27E-12 -0.25E-13
     9200  2.9977  0.9859  21.7118     12.000  12.000  12.000      7.2054   7.2130   7.2934     0.75E-12 -0.51E-12  0.13E-13
     9300  2.9977  0.9924  21.7281     12.000  12.000  12.000      7.1879   7.2926   7.2477     0.49E-12 -0.24E-12  0.37E-12
     9400  2.9977  0.9793  21.7764     12.000  12.000  12.000      7.2185   7.2758   7.2821     0.73E-12 -0.46E-12  0.27E-12
     9500  2.9977  1.0049  21.7476     12.000  12.000  12.000      7.2299   7.2742   7.2435     0.89E-12 -0.59E-12  0.35E-12
     9600  2.9977  0.9920  21.7499     12.000  12.000  12.000      7.2546   7.2540   7.2413     0.85E-12 -0.45E-12  0.54E-12
     9700  2.9977  1.0127  21.8766     12.000  12.000  12.000      7.2644   7.2685   7.3437     0.53E-12 -0.47E-12  0.14E-12
     9800  2.9977  0.9859  21.6479     12.000  12.000  12.000      7.2264   7.2349   7.1867     0.96E-12 -0.42E-12  0.29E-12
     9900  2.9977  1.0126  21.8261     12.000  12.000  12.000      7.2729   7.2511   7.3020     0.93E-12 -0.66E-12  0.37E-12
    10000  2.9977  0.9947  21.7521     12.000  12.000  12.000      7.2586   7.2315   7.2620     0.76E-12 -0.58E-12  0.50E-12
    10100  2.9977  0.9838  21.7129     12.000  12.000  12.000      7.2049   7.2349   7.2732     0.39E-13  0.13E-12  0.23E-12
    10200  2.9977  0.9933  21.6670     12.000  12.000  12.000      7.2548   7.2327   7.1795    -0.17E-12 -0.11E-12  0.75E-13
    10300  2.9977  1.0057  21.6535     12.000  12.000  12.000      7.2367   7.1928   7.2240    -0.84E-13  0.92E-13  0.23E-12
    10400  2.9977  0.9982  21.8246     12.000  12.000  12.000      7.2599   7.2836   7.2811    -0.30E-13  0.95E-13  0.39E-12
    10500  2.9977  0.9999  21.8301     12.000  12.000  12.000      7.3359   7.2501   7.2441    -0.18E-12  0.16E-12  0.36E-12
    10600  2.9977  0.9894  21.8333     12.000  12.000  12.000      7.2810   7.3190   7.2333    -0.22E-12 -0.17E-13  0.56E-12
    10700  2.9977  1.0186  21.8515     12.000  12.000  12.000      7.2311   7.3360   7.2843    -0.34E-12 -0.50E-14  0.45E-12
