   step     dens     kT     pres         Lx      Ly      Lz          Px       Py       Pz         px        py        pz
      100  2.9977  1.0962  22.3841     12.000  12.000  12.000      7.5143   7.4520   7.4178    -0.31E-12 -0.20E-12 -0.18E-12
      200  2.9977  1.0299  22.4843     12.000  12.000  12.000      7.4986   7.5020   7.4837    -0.23E-12 -0.19E-12  0.18E-12
      300  2.9977  1.0062  22.4502     12.000  12.000  12.000      7.5079   7.4652   7.4771    -0.11E-12 -0.30E-12  0.71E-13
      400  2.9977  1.0122  22.3012     12.000  12.000  12.000      7.4785   7.3730   7.4497     0.48E-13 -0.32E-12  0.76E-13
      500  2.9977  1.0169  22.2843     12.000  12.000  12.000      7.4154   7.4059   7.4630    -0.11E-12 -0.43E-12  0.29E-12
      600  2.9977  0.9906  22.1700     12.000  12.000  12.000      7.3734   7.4170   7.3795     0.75E-13 -0.34E-12  0.19E-12
      700  2.9977  0.9989  22.1562     12.000  12.000  12.000      7.4026   7.4309   7.3227    -0.40E-13 -0.14E-12  0.22E-12
      800  2.9977  0.9921  22.0650     12.000  12.000  12.000      7.4044   7.3397   7.3209     0.11E-12  0.25E-13  0.19E-12
      900  2.9977  1.0165  22.3416     12.000  12.000  12.000      7.4699   7.4150   7.4567    -0.10E-12 -0.21E-12  0.16E-12
     1000  2.9977  0.9973  22.1623     12.000  12.000  12.000      7.3510   7.4629   7.3483    -0.23E-12 -0.20E-12  0.24E-12
     1100  2.9977  0.9930  21.9954     12.000  12.000  12.000      7.3714   7.3228   7.3012    -0.26E-12 -0.27E-12  0.26E-12
     1200  2.9977  0.9957  22.0067     12.000  12.000  12.000      7.3482   7.3789   7.2796     0.36E-13 -0.31E-13 -0.16E-12
     1300  2.9977  1.0027  22.0682     12.000  12.000  12.000      7.3076   7.3725   7.3882     0.36E-13 -0.26E-12  0.10E-13
     1400  2.9977  0.9844  21.8972     12.000  12.000  12.000      7.2760   7.3162   7.3051    -0.59E-14 -0.88E-13  0.20E-12
     1500  2.9977  1.0102  22.0436     12.000  12.000  12.000      7.3289   7.3579   7.3568    -0.19E-12 -0.18E-12  0.11E-12
     1600  2.9977  1.0006  21.9391     12.000  12.000  12.000      7.3173   7.3073   7.3145    -0.95E-13 -0.17E-12  0.30E-12
     1700  2.9977  1.0111  21.9655     12.000  12.000  12.000      7.2992   7.3211   7.3451    -0.25E-12 -0.30E-12  0.27E-12
     1800  2.9977  0.9882  21.9840     12.000  12.000  12.000      7.2798   7.3399   7.3644    -0.45E-12 -0.23E-12  0.21E-12
     1900  2.9977  0.9950  21.7686     12.000  12.000  12.000      7.1545   7.2696   7.3444    -0.59E-12 -0.29E-12  0.55E-12
     2000  2.9977  0.9942  21.9597     12.000  12.000  12.000      7.3186   7.2915   7.3495    -0.55E-12 -0.20E-13  0.13E-12
     2100  2.9977  1.0149  21.9085     12.000  12.000  12.000      7.3315   7.2091   7.3679    -0.47E-12 -0.79E-14 -0.92E-13
     2200  2.9977  0.9754  21.7673     12.000  12.000  12.000      7.2442   7.2622   7.2609    -0.37E-12  0.86E-13  0.51E-13
     2300  2.9977  0.9858  21.8267     12.000  12.000  12.000      7.2324   7.3280   7.2663    -0.32E-12 -0.28E-13  0.41E-12
     2400  2.9977  1.0127  21.9781     12.000  12.000  12.000      7.3309   7.3905   7.2567    -0.16E-12 -0.37E-13  0.24E-12
     2500  2.9977  0.9903  21.8710     12.000  12.000  12.000      7.2520   7.3285   7.2904    -0.27E-12  0.34E-13  0.45E-13
     2600  2.9977  0.9834  21.9043     12.000  12.000  12.000      7.3074   7.2954   7.3014    -0.12E-12 -0.19E-12  0.23E-12
     2700  2.9977  0.9957  21.8202     12.000  12.000  12.000      7.2943   7.2521   7.2738    -0.99E-13  0.14E-12  0.10E-12
     2800  2.9977  1.0235  21.8421     12.000  12.000  12.000      7.2970   7.2620   7.2831     0.27E-13  0.19E-13  0.30E-12
     2900  2.9977  1.0208  21.9202     12.000  12.000  12.000      7.3085   7.3327   7.2790    -0.15E-12  0.77E-14  0.96E-13
     3000  2.9977  0.9965  21.8255     12.000  12.000  12.000      7.3095   7.2470   7.2691     0.62E-13  0.12E-12 -0.59E-13
     3100  2.9977  0.9944  21.8172     12.000  12.000  12.000      7.2265   7.2912   7.2995    -0.11E-12  0.23E-13 -0.10E-12
     3200  2.9977  0.9897  21.7799     12.000  12.000  12.000      7.2423   7.2227   7.3150    -0.45E-13  0.48E-13 -0.11E-12
     3300  2.9977  0.9814  21.7193     12.000  12.000  12.000      7.1972   7.2688   7.2534    -0.16E-12  0.11E-12 -0.67E-13
     3400  2.9977  0.9837  21.8044     12.000  12.000  12.000      7.2152   7.2934   7.2959    -0.39E-12 -0.87E-13 -0.34E-13
     3500  2.9977  1.0104  21.8782     12.000  12.000  12.000      7.3332   7.2773   7.2678    -0.30E-12 -0.22E-13  0.11E-12
     3600  2.9977  0.9965  21.7548     12.000  12.000  12.000      7.2884   7.2116   7.2548    -0.39E-12 -0.23E-12  0.40E-13
     3700  2.9977  0.9896  21.8244     12.000  12.000  12.000      7.2936   7.2323   7.2985    -0.40E-12 -0.15E-12 -0.16E-12
     3800  2.9977  1.0097  21.9145     12.000  12.000  12.000      7.2628   7.3342   7.3175    -0.48E-12  0.73E-14  0.12E-13
     3900  2.9977  0.9773  21.8250     12.000  12.000  12.000      7.2639   7.2610   7.3001    -0.45E-12 -0.18E-12  0.11E-12
     4000  2.9977  1.0075  21.8778     12.000  12.000  12.000      7.2600   7.3089   7.3089    -0.59E-12 -0.47E-13  0.61E-13
     4100  2.9977  1.0261  21.9697     12.000  12.000  12.000      7.3488   7.2879   7.3330    -0.51E-12  0.80E-14  0.11E-12
     4200  2.9977  0.9815  21.7358     12.000  12.000  12.000      7.2178   7.2231   7.2949    -0.46E-12  0.10E-12  0.42E-12
     4300  2.9977  0.9970  21.7318     12.000  12.000  12.000      7.1941   7.2259   7.3118    -0.61E-12  0.29E-12  0.11E-12
     4400  2.9977  1.0053  21.9311     12.000  12.000  12.000      7.3149   7.3414   7.2749    -0.51E-12  0.16E-12  0.39E-12
